year,region_id,voltage_kv,path_id,status,reason,installed_capacity_mva,reported_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan,complete_path_status,complete_path_reason,baseline_capacity_mva,physical_clr,policy_control_capacity_mva,policy_control_ratio
2025,QX-00007,35,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,,,,,,,,,,,,,,infeasible,no_complete_2022_2025_feasible_path,56.0,,,
2022,QX-00007,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,3113.5,3113.5000000000005,0.0,0.0,1432.369977,0.0,2.1736702458124757,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,3113.5,2.1736702458124757,3113.5000000000005,2.1736702458124757
2023,QX-00007,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,3113.5,3113.5,0.0,0.0,1542.216749,0.0,2.018847222362776,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,3113.5,2.018847222362776,3113.5,2.018847222362776
2024,QX-00007,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,3113.5,3113.4999999999995,0.0,0.0,1449.401567,0.0,2.1481279383769287,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,3113.5,2.1481279383769287,3113.4999999999995,2.1481279383769287
2025,QX-00007,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,3113.5,3113.5,0.0,0.0,1528.82,0.0,2.036537983542863,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,3113.5,2.036537983542863,3113.5,2.036537983542863
2022,QX-00008,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,185.6,185.6,0.0,0.0,107.396041,0.0,1.7281828852517944,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,185.6,1.7281828852517944,185.6,1.7281828852517944
2023,QX-00008,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,185.6,185.6,0.0,0.0,58.020619,0.0,3.1988628042730807,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,185.6,3.1988628042730807,185.6,3.1988628042730807
2024,QX-00008,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,185.6,185.60000000000002,0.0,0.0,81.637692,0.0,2.2734596661551874,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,185.6,2.2734596661551874,185.60000000000002,2.2734596661551874
2025,QX-00008,35,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,,,,,,,,,,,,,,infeasible,no_complete_2022_2025_feasible_path,185.6,,,
2022,QX-00008,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1382.0,1382.0,0.0,0.0,628.477601,0.0,2.198964605581862,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,1382.0,2.198964605581862,1382.0,2.198964605581862
