year,region_id,voltage_kv,path_id,status,reason,complete_path_status,complete_path_reason,installed_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan
2022,QX-00007,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,56.0,0,0.0,11.017072,,5.083020243491192,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00007,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,36.0,0,0.0,14.05,,2.562277580071174,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00007,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,36.0,0,0.0,13.057754,,2.7569825561118706,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00007,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,36.0,0,0.0,14.68,,2.452316076294278,未识别,未识别,未识别,未识别,未识别,未识别
2021,QX-00007,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,3113.5,0,0.0,1449.77,,2.1475820302530746,未识别,未识别,未识别,未识别,未识别,未识别
2022,QX-00007,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,3345.0,0,0.0,1432.369977,,2.3352905001582562,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00007,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,3575.0,0,0.0,1542.216749,,2.31809180020778,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00007,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,3675.0,0,0.0,1449.401567,,2.535529202998302,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00007,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,3701.0,0,0.0,1528.82,,2.4208212870056647,未识别,未识别,未识别,未识别,未识别,未识别
2021,QX-00008,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,185.6,0,0.0,85.55,,2.169491525423729,未识别,未识别,未识别,未识别,未识别,未识别
2022,QX-00008,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,185.6,0,0.0,107.396041,,1.7281828852517944,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00008,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,190.6,0,0.0,58.020619,,3.285039065164058,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00008,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,190.6,0,0.0,81.637692,,2.334705885609799,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00008,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,164.3,0,0.0,82.31,,1.9961122585348074,未识别,未识别,未识别,未识别,未识别,未识别
2021,QX-00008,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1382.0,0,0.0,613.64,,2.2521348021641354,未识别,未识别,未识别,未识别,未识别,未识别
2022,QX-00008,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1430.5,0,0.0,628.477601,,2.2761352158356396,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00008,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1690.5,0,0.0,660.560758,,2.5591892638587534,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00008,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1709.0,0,0.0,689.65649,,2.47804526569452,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00008,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1839.0,0,0.0,759.56,,2.421138553899626,未识别,未识别,未识别,未识别,未识别,未识别
2021,QX-00009,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,310.3,0,0.0,127.59,,2.4320087781174076,未识别,未识别,未识别,未识别,未识别,未识别
2022,QX-00009,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,258.3,0,0.0,87.769699,,2.942929085355528,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00009,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,258.3,0,0.0,86.11926,,2.9993290699432396,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00009,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,270.3,0,0.0,91.511376,,2.9537311295592366,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00009,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,274.3,0,0.0,89.0,,3.0820224719101126,未识别,未识别,未识别,未识别,未识别,未识别
2021,QX-00009,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1737.0,0,0.0,701.12,,2.4774646280237334,未识别,未识别,未识别,未识别,未识别,未识别
2022,QX-00009,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1807.0,0,0.0,724.903487,,2.4927456308400955,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00009,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1907.0,0,0.0,746.012246,,2.5562583057115122,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00009,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1907.0,0,0.0,738.347529,,2.5827945853395007,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00009,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1877.0,0,0.0,813.38,,2.307654478841378,未识别,未识别,未识别,未识别,未识别,未识别
2021,QX-00010,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,287.5,0,0.0,122.09,,2.3548202145957897,未识别,未识别,未识别,未识别,未识别,未识别
2022,QX-00010,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,234.5,0,0.0,117.616729,,1.993763999337203,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00010,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,224.0,0,0.0,63.770084,,3.512618863729269,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00010,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,224.0,0,0.0,83.628967,,2.678497750665747,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00010,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,232.0,0,0.0,79.75,,2.909090909090909,未识别,未识别,未识别,未识别,未识别,未识别
2021,QX-00010,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1785.0,0,0.0,525.23,,3.3985111284580087,未识别,未识别,未识别,未识别,未识别,未识别
2022,QX-00010,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1885.0,0,0.0,623.697781,,3.0222971083490195,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00010,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2033.5,0,0.0,609.974273,,3.333747159529792,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00010,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2063.5,0,0.0,677.526871,,3.0456356615854427,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00010,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1979.5,0,0.0,734.91,,2.693527098556286,未识别,未识别,未识别,未识别,未识别,未识别
