scenario_id,rcap,rcap_numeric,region_id,path_id,storage_eac_wanyuan_per_year,expansion_eac_wanyuan_per_year,storage_cumulative_in_service_eac_wanyuan,expansion_cumulative_in_service_eac_wanyuan
storage_life_short,2.4,2.4,QX-00001,PATH_OPT_CLR_LE_2,76.51957329,121.7414881,76.51957329,121.7414881
storage_life_short,2.4,2.4,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.5,2.5,QX-00001,PATH_OPT_CLR_LE_2,76.51957329,121.7414881,76.51957329,121.7414881
storage_life_short,2.5,2.5,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.6,2.6,QX-00001,PATH_OPT_CLR_LE_2,76.51957329,121.7414881,76.51957329,121.7414881
storage_life_short,2.6,2.6,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.7,2.7,QX-00001,PATH_OPT_CLR_LE_2,76.51957329,121.7414881,76.51957329,121.7414881
storage_life_short,2.7,2.7,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.8,2.8,QX-00001,PATH_OPT_CLR_LE_2,76.51957329,121.7414881,76.51957329,121.7414881
storage_life_short,2.8,2.8,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.9,2.9,QX-00001,PATH_OPT_CLR_LE_2,76.51957329,121.7414881,76.51957329,121.7414881
storage_life_short,2.9,2.9,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,3.0,3,QX-00001,PATH_OPT_CLR_LE_2,76.51957329,121.7414881,76.51957329,121.7414881
storage_life_short,3.0,3,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,unbounded,,QX-00001,PATH_OPT_CLR_UNBOUNDED,76.51957329,121.7414881,76.51957329,121.7414881
storage_life_short,unbounded,,QX-00005,PATH_OPT_CLR_UNBOUNDED,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_long,2.0,2,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.0,2,QX-00005,PATH_OPT_CLR_LE_2,3023.063302,0,3023.063302,0
storage_life_long,2.1,2.1,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.1,2.1,QX-00005,PATH_OPT_CLR_LE_2,3023.063302,0,3023.063302,0
storage_life_long,2.15,2.15,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.15,2.15,QX-00005,PATH_OPT_CLR_LE_2,3023.063302,0,3023.063302,0
storage_life_long,2.16,2.16,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.16,2.16,QX-00005,PATH_OPT_CLR_LE_2,3023.063302,0,3023.063302,0
storage_life_long,2.17,2.17,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.17,2.17,QX-00005,PATH_OPT_CLR_LE_2,3023.063302,0,3023.063302,0
storage_life_long,2.171,2.171,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.171,2.171,QX-00005,PATH_OPT_CLR_LE_2,3023.063302,0,3023.063302,0
storage_life_long,2.172,2.172,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.172,2.172,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.18,2.18,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.18,2.18,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.2,2.2,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.2,2.2,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.3,2.3,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.3,2.3,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.35,2.35,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.35,2.35,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.359,2.359,QX-00001,PATH_OPT_CLR_LE_2,433.7488912,0,433.7488912,0
storage_life_long,2.359,2.359,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.36,2.36,QX-00001,PATH_OPT_CLR_LE_2,59.79301294,121.7414881,59.79301294,121.7414881
storage_life_long,2.36,2.36,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.37,2.37,QX-00001,PATH_OPT_CLR_LE_2,59.79301294,121.7414881,59.79301294,121.7414881
storage_life_long,2.37,2.37,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.4,2.4,QX-00001,PATH_OPT_CLR_LE_2,59.79301294,121.7414881,59.79301294,121.7414881
storage_life_long,2.4,2.4,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.5,2.5,QX-00001,PATH_OPT_CLR_LE_2,59.79301294,121.7414881,59.79301294,121.7414881
storage_life_long,2.5,2.5,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.6,2.6,QX-00001,PATH_OPT_CLR_LE_2,59.79301294,121.7414881,59.79301294,121.7414881
storage_life_long,2.6,2.6,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.7,2.7,QX-00001,PATH_OPT_CLR_LE_2,59.79301294,121.7414881,59.79301294,121.7414881
storage_life_long,2.7,2.7,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.8,2.8,QX-00001,PATH_OPT_CLR_LE_2,59.79301294,121.7414881,59.79301294,121.7414881
storage_life_long,2.8,2.8,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,2.9,2.9,QX-00001,PATH_OPT_CLR_LE_2,59.79301294,121.7414881,59.79301294,121.7414881
storage_life_long,2.9,2.9,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,3.0,3,QX-00001,PATH_OPT_CLR_LE_2,59.79301294,121.7414881,59.79301294,121.7414881
storage_life_long,3.0,3,QX-00005,PATH_OPT_CLR_LE_2,1461.367669,121.7414881,1461.367669,121.7414881
storage_life_long,unbounded,,QX-00001,PATH_OPT_CLR_UNBOUNDED,59.79301294,121.7414881,59.79301294,121.7414881
storage_life_long,unbounded,,QX-00005,PATH_OPT_CLR_UNBOUNDED,1461.367669,121.7414881,1461.367669,121.7414881
transformer_life_short,2.0,2,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.0,2,QX-00005,PATH_OPT_CLR_LE_2,3359.052224,0,3359.052224,0
transformer_life_short,2.1,2.1,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.1,2.1,QX-00005,PATH_OPT_CLR_LE_2,3359.052224,0,3359.052224,0
transformer_life_short,2.15,2.15,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.15,2.15,QX-00005,PATH_OPT_CLR_LE_2,3359.052224,0,3359.052224,0
transformer_life_short,2.16,2.16,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.16,2.16,QX-00005,PATH_OPT_CLR_LE_2,3359.052224,0,3359.052224,0
transformer_life_short,2.17,2.17,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.17,2.17,QX-00005,PATH_OPT_CLR_LE_2,3359.052224,0,3359.052224,0
transformer_life_short,2.171,2.171,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.171,2.171,QX-00005,PATH_OPT_CLR_LE_2,3359.052224,0,3359.052224,0
transformer_life_short,2.172,2.172,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.172,2.172,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.18,2.18,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.18,2.18,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.2,2.2,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.2,2.2,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.3,2.3,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.3,2.3,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.35,2.35,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.35,2.35,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.359,2.359,QX-00001,PATH_OPT_CLR_LE_2,481.9565559,0,481.9565559,0
transformer_life_short,2.359,2.359,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.36,2.36,QX-00001,PATH_OPT_CLR_LE_2,66.43852047,129.2324826,66.43852047,129.2324826
transformer_life_short,2.36,2.36,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.37,2.37,QX-00001,PATH_OPT_CLR_LE_2,66.43852047,129.2324826,66.43852047,129.2324826
transformer_life_short,2.37,2.37,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.4,2.4,QX-00001,PATH_OPT_CLR_LE_2,66.43852047,129.2324826,66.43852047,129.2324826
transformer_life_short,2.4,2.4,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.5,2.5,QX-00001,PATH_OPT_CLR_LE_2,66.43852047,129.2324826,66.43852047,129.2324826
transformer_life_short,2.5,2.5,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.6,2.6,QX-00001,PATH_OPT_CLR_LE_2,66.43852047,129.2324826,66.43852047,129.2324826
transformer_life_short,2.6,2.6,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.7,2.7,QX-00001,PATH_OPT_CLR_LE_2,66.43852047,129.2324826,66.43852047,129.2324826
transformer_life_short,2.7,2.7,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
transformer_life_short,2.8,2.8,QX-00001,PATH_OPT_CLR_LE_2,66.43852047,129.2324826,66.43852047,129.2324826
transformer_life_short,2.8,2.8,QX-00005,PATH_OPT_CLR_LE_2,1623.786811,129.2324826,1623.786811,129.2324826
