series_column_1_based,transformer_uid,region_id,voltage_kv,station_id,unit_id,capacity_mva,capacity_match,candidate_score,candidate_best_margin,max_error_fraction,min_error_fraction,snapshot_2026_error_fraction,snapshot_2026_match_count,nonmissing_hours_2025,missing_hours_2025,observed_max_2025_mw,observed_min_2025_mw,approval_status,confidence,approval_reason,formal_use_allowed,approval_authority,candidate_map_sha256,pv_snapshot_sha256,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
24,QX-00005|35|BDZ-00255|#1,QX-00005,35,BDZ-00255,#1,20,True,0.14275,0.03475,0.0215,0.05,0.116415,2,8759,1,18.69,-14.19,conditional,medium,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_medium,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
25,QX-00005|110|BDZ-00005|#1,QX-00005,110,BDZ-00005,#1,50,True,0.111,0.15225,0,0.0146,0.001276,2,8759,1,14.33,-6.3,conditional,medium,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_medium,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
26,QX-00005|110|BDZ-00005|#2,QX-00005,110,BDZ-00005,#2,50,True,0.0274,0.2548,0.012,0.004,0.006728,2,8759,1,25.99,-15.47,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
27,QX-00005|35|BDZ-00247|#3,QX-00005,35,BDZ-00247,#3,8,True,0.0695,0.8362,0.036,0.001,,0,8759,1,6,0,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
28,QX-00005|35|BDZ-00247|#4,QX-00005,35,BDZ-00247,#4,10,True,0.395,0.6845,0.063,0,,0,8759,1,6.34,-0.1,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
29,QX-00005|110|BDZ-00172|#1,QX-00005,110,BDZ-00172,#1,50,True,0.0672,0.1436,0.0048,0.0188,0.01547,2,8759,1,21.13,-12.96,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
30,QX-00005|110|BDZ-00172|#2,QX-00005,110,BDZ-00172,#2,50,True,0.0129,0.1759,0.004,0.0046,0.01148,2,8759,1,14.07,-10.62,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
31,QX-00005|110|BDZ-00021|#1,QX-00005,110,BDZ-00021,#1,50,True,0.1467,0.2308,0,0.061,0.278718,2,8759,1,18.59,-25.55,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
32,QX-00005|110|BDZ-00021|#3,QX-00005,110,BDZ-00021,#3,50,True,0.018,0.50668,0.0012,0.0054,0.10103,2,8759,1,25.02,-8.84,conditional,medium,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_medium,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
33,QX-00005|35|BDZ-00280|#2,QX-00005,35,BDZ-00280,#2,20,True,0.2265,0.0304,0.0665,0.084,0.013035,1,8759,1,15.33,-12.6,conditional,medium,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_medium,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
34,QX-00005|35|BDZ-00280|#1,QX-00005,35,BDZ-00280,#1,25,True,0.129,0.042,0.0704,0.0132,0.298052,1,8759,1,15.12,-11.73,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
35,QX-00005|110|BDZ-00037|#3,QX-00005,110,BDZ-00037,#3,50,True,0.1049,0.27335,0.0214,0.0106,0.191214,2,8759,1,18.35,-19.36,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
36,QX-00005|35|BDZ-00248|#2,QX-00005,35,BDZ-00248,#2,20,True,0.01225,0.04215,0.004,0,0.027675,2,8759,1,13.41,-11.85,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
37,QX-00005|110|BDZ-00048|#2,QX-00005,110,BDZ-00048,#2,50,True,0.0657,0.14355,0.0162,0.0026,0.006776,1,8759,1,40.92,-4.29,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
