region_id,voltage_kv,station_id,pv_online_mw,pv_pipeline_mw,rated_capacity_context_mva,snapshot_min,snapshot_max,source_rows,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00003,35,BDZ-00258,32.636,2.2177,40,2026-04-24 12:45:00,2026-05-21 12:15:00,115;116,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,35,BDZ-00267,1.1508,0.121,16,2026-04-29 12:45:00,2026-05-21 14:30:00,123;124,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,35,BDZ-00268,29.6637,1.7247,36,2026-05-07 13:00:00,2026-05-07 13:00:00,119;120,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,35,BDZ-00282,10.3833,0.753,16,2026-03-13 12:30:00,2026-05-28 12:45:00,113;114,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,35,BDZ-00286,9.7536,0.321,24,2026-04-03 12:00:00,2026-05-19 12:00:00,125;126,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,35,BDZ-00294,17.0624,0.5542,15,2026-03-10 13:45:00,2026-05-21 12:15:00,117;118,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,35,BDZ-00302,21.5854,3.0376,40,2026-04-23 12:45:00,2026-05-08 13:30:00,131;132,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,35,BDZ-00305,23.5508,1.094,45,2026-05-09 12:15:00,2026-05-19 12:30:00,127;128,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,35,BDZ-00311,4.5102,0.652,40,2026-04-03 13:30:00,2026-04-27 15:00:00,129;130,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
QX-00003,110,BDZ-00004,22.85,0,100,2026-04-30 12:15:00,2026-05-09 13:00:00,95;96,SRC05:主变（跨区合并）1,电网建模数据_Agent整合版_V1.2,"sum online and pipeline PV by region, voltage and station; no feeder allocation",pv_snapshot_2026_context,cross_year_snapshot_2026_context,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec
