year,region_id,voltage_kv,path_id,status,reason,complete_path_status,complete_path_reason,installed_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan,reported_capacity_mva
2022,QX-00007,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,3345,0,0,1432.369977,,2.3352905,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00007,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,3575,0,0,1542.216749,,2.3180918,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00007,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,3675,0,0,1449.401567,,2.535529203,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00007,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,3701,0,0,1528.82,,2.420821287,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00008,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,185.6,0,0,85.55,,2.169491525,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00008,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,185.6,0,0,107.396041,,1.728182885,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00008,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,190.6,0,0,58.020619,,3.285039065,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00008,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,190.6,0,0,81.637692,,2.334705886,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00008,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,164.3,0,0,82.31,,1.996112259,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00008,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1382,0,0,613.64,,2.252134802,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00008,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1430.5,0,0,628.477601,,2.276135216,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00008,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1690.5,0,0,660.560758,,2.559189264,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00008,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1709,0,0,689.65649,,2.478045266,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00008,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1839,0,0,759.56,,2.421138554,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00009,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,310.3,0,0,127.59,,2.432008778,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00009,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,258.3,0,0,87.769699,,2.942929085,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00009,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,258.3,0,0,86.11926,,2.99932907,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00009,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,270.3,0,0,91.511376,,2.95373113,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00009,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,274.3,0,0,89,,3.082022472,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00009,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1737,0,0,701.12,,2.477464628,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00009,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1807,0,0,724.903487,,2.492745631,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00009,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1907,0,0,746.012246,,2.556258306,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00009,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1907,0,0,738.347529,,2.582794585,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00009,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1877,0,0,813.38,,2.307654479,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00010,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,287.5,0,0,122.09,,2.354820215,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00010,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,234.5,0,0,117.616729,,1.993763999,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00010,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,224,0,0,63.770084,,3.512618864,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00010,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,224,0,0,83.628967,,2.678497751,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00010,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,232,0,0,79.75,,2.909090909,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00010,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1785,0,0,525.23,,3.398511128,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00010,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1885,0,0,623.697781,,3.022297108,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00010,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2033.5,0,0,609.974273,,3.33374716,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00010,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2063.5,0,0,677.526871,,3.045635662,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00010,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1979.5,0,0,734.91,,2.693527099,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00001,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,288.8,0,0,115.174619,0,2.507496899,0.0,0.0,0.0,0.0,0.0,0.0,288.8
2023,QX-00001,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,288.8,0,0,93.590778,0,3.085774113,0.0,0.0,0.0,0.0,0.0,0.0,288.8
2024,QX-00001,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,288.8,0,0,112.361147,0,2.570283481,0.0,0.0,0.0,0.0,0.0,0.0,288.8
2025,QX-00001,35,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00001,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,1235,0,0,481.402045,0,2.565423252,0.0,0.0,0.0,0.0,0.0,0.0,1235
2023,QX-00001,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,1235,0,0,489.474752,0,2.523112775,0.0,0.0,0.0,0.0,0.0,0.0,1235
2024,QX-00001,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,1235,0,0,517.378225,0,2.387035133,0.0,0.0,0.0,0.0,0.0,0.0,1235
2025,QX-00001,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,1285,19,1.9,544.55,0,2.35974658,0.0,0.0,1743.550662,188.18000856976303,1743.550662,188.18000856976303,1285
2022,QX-00003,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,326,0,0,120.132439,0,2.7136717,0.0,0.0,0.0,0.0,0.0,0.0,326
2023,QX-00003,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,326,0,0,95.963958,0,3.397108735,0.0,0.0,0.0,0.0,0.0,0.0,326
2024,QX-00003,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,326,0,0,111.634771,0,2.920237101,0.0,0.0,0.0,0.0,0.0,0.0,326
2025,QX-00003,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,326,145,14.5,124.78,0,2.612598173,0.0,0.0,3055.034868,506.7323958472395,3055.034868,506.7323958472395,326
2022,QX-00003,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,699.5,0,0,285.689106,0,2.448465781,0.0,0.0,0.0,0.0,0.0,0.0,699.5
2023,QX-00003,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,699.5,0,0,316.006262,0,2.21356373,0.0,0.0,0.0,0.0,0.0,0.0,699.5
2024,QX-00003,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,699.5,0,0,291.210068,0,2.402046072,0.0,0.0,0.0,0.0,0.0,0.0,699.5
2025,QX-00003,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,699.5,173,17.3,313.03,0,2.234610101,0.0,0.0,3645.6800540000004,604.7015068817583,3645.6800540000004,604.7015068817583,699.5
2022,QX-00004,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,243,0,0,103.91286,0,2.338497853,0.0,0.0,0.0,0.0,0.0,0.0,243
2023,QX-00004,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,243,0,0,92.058809,0,2.63961703,0.0,0.0,0.0,0.0,0.0,0.0,243
2024,QX-00004,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,243,0,0,99.858544,0,2.43344225,0.0,0.0,0.0,0.0,0.0,0.0,243
2025,QX-00004,35,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
