time,P,G_i,T2m,WS10m
20050109:1530,0.0,,-5.96,1.45
20050109:1630,0.0,,-6.33,1.59
20050109:1730,0.0,,-6.51,1.79
20050109:1830,0.0,,-6.69,1.93
20050109:1930,0.0,,-6.96,1.86
20050109:2030,0.0,,-7.2,1.79
20050109:2130,0.0,,-7.43,1.66
20050109:2230,0.0,,-7.54,1.59
20050109:2330,1.98,,-7.65,1.59
20050110:0030,268.05,,-7.38,1.52
20050110:0130,493.51,,-3.99,1.59
20050110:0230,654.59,,-1.73,2.69
20050110:0330,743.42,,-0.02,3.31
20050110:0430,760.01,,1.27,3.38
20050110:0530,707.82,,2.13,3.17
20050110:0630,588.37,,2.62,2.83
20050110:0730,400.95,,2.53,2.34
20050110:0830,163.93,,2.05,1.93
20050110:0930,0.0,,0.7,1.66
20050110:1030,0.0,,-1.42,1.24
20050110:1130,0.0,,-0.89,0.62
20050110:1230,0.0,,-1.54,1.03
20050110:1330,0.0,,-4.05,1.45
20050110:1430,0.0,,-5.29,1.66
20050110:1530,0.0,,-6.08,1.72
20050110:1630,0.0,,-6.51,1.66
20050110:1730,0.0,,-6.78,1.52
20050110:1830,0.0,,-7.11,1.45
20050110:1930,0.0,,-7.36,1.38
20050110:2030,0.0,,-7.82,1.45
20050110:2130,0.0,,-8.18,1.45
20050110:2230,0.0,,-8.48,1.45
20050110:2330,2.07,,-8.73,1.52
20050111:0030,286.14,,-8.47,1.38
20050111:0130,510.78,,-4.33,0.83
20050111:0230,661.9,,-0.79,1.31
20050111:0330,754.44,,0.91,2.34
20050111:0430,775.15,,1.93,2.69
20050111:0530,727.06,,2.48,2.83
20050111:0630,609.89,,2.65,2.69
20050111:0730,424.13,,2.05,2.9
20050111:0830,179.53,,1.36,2.34
20050111:0930,0.0,,-0.27,1.93
20050111:1030,0.0,,-2.17,1.86
20050111:1130,0.0,,-4.2,1.66
20050111:1230,0.0,,-4.65,1.38
20050111:1330,0.0,,-4.78,1.24
20050111:1430,0.0,,-5.29,1.31
20050111:1530,0.0,,-6.01,1.45
20050111:1630,0.0,,-6.5,1.52
20050111:1730,0.0,,-6.65,1.52
20050111:1830,0.0,,-6.8,1.45
20050111:1930,0.0,,-7.0,1.45
20050111:2030,0.0,,-7.49,1.52
20050111:2130,0.0,,-7.91,1.52
20050111:2230,0.0,,-8.36,1.59
20050111:2330,2.39,,-8.65,1.66
20050112:0030,284.32,,-8.4,1.59
20050112:0130,510.01,,-4.43,1.17
20050112:0230,674.47,,-1.58,2.28
20050112:0330,765.27,,-0.04,3.03
20050112:0430,785.92,,1.08,3.38
20050112:0530,737.46,,1.81,3.52
20050112:0630,617.02,,2.1,3.45
20050112:0730,427.12,,2.36,3.17
20050112:0830,182.29,,1.75,2.34
20050112:0930,0.0,,0.35,1.52
20050112:1030,0.0,,-2.07,1.31
20050112:1130,0.0,,-3.32,1.31
20050112:1230,0.0,,-4.04,1.31
20050112:1330,0.0,,-3.88,1.1
20050112:1430,0.0,,-3.92,0.97
20050112:1530,0.0,,-3.81,0.76
20050112:1630,0.0,,-3.96,0.48
20050112:1730,0.0,,-4.03,0.48
20050112:1830,0.0,,-4.07,0.76
20050112:1930,0.0,,-4.76,1.03
20050112:2030,0.0,,-4.61,0.69
20050112:2130,0.0,,-4.84,0.55
20050112:2230,0.0,,-5.09,0.62
20050112:2330,2.16,,-5.94,0.9
20050113:0030,249.6,,-6.29,1.03
20050113:0130,433.28,,-3.27,0.34
20050113:0230,597.4,,0.14,0.21
20050113:0330,671.34,,1.82,0.41
20050113:0430,673.2,,2.75,0.76
20050113:0530,619.44,,3.33,1.17
20050113:0630,493.39,,3.54,1.31
20050113:0730,319.3,,3.27,1.31
20050113:0830,112.78,,2.81,1.1
20050113:0930,0.0,,1.71,1.17
20050113:1030,0.0,,-0.27,1.03
20050113:1130,0.0,,-0.38,0.97
20050113:1230,0.0,,-0.83,0.76
20050113:1330,0.0,,-1.28,0.76
20050113:1430,0.0,,-1.65,0.69
20050113:1530,0.0,,-1.99,0.55
20050113:1630,0.0,,-2.32,0.48
20050113:1730,0.0,,-2.62,0.41
20050113:1830,0.0,,-2.86,0.48
20050113:1930,0.0,,-3.54,0.83
20050113:2030,0.0,,-3.76,0.76
20050113:2130,0.0,,-3.86,0.69
20050113:2230,0.0,,-3.79,0.62
20050113:2330,1.62,,-3.71,0.41
20050114:0030,190.54,,-3.64,0.21
20050114:0130,352.39,,-1.85,0.14
20050114:0230,484.33,,0.34,0.9
20050114:0330,639.93,,1.72,1.72
20050114:0430,463.22,,2.69,2.62
20050114:0530,364.83,,2.91,2.97
20050114:0630,264.15,,2.75,2.97
20050114:0730,259.69,,2.68,2.69
20050114:0830,129.24,,2.27,2.28
20050114:0930,0.0,,0.81,1.79
20050114:1030,0.0,,-1.21,1.79
20050114:1130,0.0,,-3.12,1.72
20050114:1230,0.0,,-4.41,1.66
20050114:1330,0.0,,-5.09,1.59
20050114:1430,0.0,,-5.59,1.52
20050114:1530,0.0,,-6.0,1.45
20050114:1630,0.0,,-6.49,1.45
