time,P,G_i,T2m,WS10m
20050113:2230,0.0,,-4.27,1.38
20050113:2330,3.22,,-4.1,1.31
20050114:0030,201.12,,-3.86,1.1
20050114:0130,346.59,,-0.35,0.83
20050114:0230,429.69,,2.32,1.03
20050114:0330,528.11,,4.1,1.45
20050114:0430,607.45,,5.17,2.14
20050114:0530,466.08,,5.63,2.55
20050114:0630,322.18,,5.56,2.62
20050114:0730,181.17,,5.82,2.14
20050114:0830,65.18,,5.37,1.86
20050114:0930,0.0,,4.09,1.93
20050114:1030,0.0,,2.0,2.28
20050114:1130,0.0,,1.11,2.14
20050114:1230,0.0,,0.49,2.0
20050114:1330,0.0,,-0.28,1.86
20050114:1430,0.0,,-1.14,1.66
20050114:1530,0.0,,-2.46,1.52
20050114:1630,0.0,,-3.25,1.59
20050114:1730,0.0,,-4.09,2.0
20050114:1830,0.0,,-4.44,2.07
20050114:1930,0.0,,-4.66,2.34
20050114:2030,0.0,,-4.63,2.34
20050114:2130,0.0,,-4.77,2.34
20050114:2230,0.0,,-4.97,2.28
20050114:2330,3.05,,-5.19,2.21
20050115:0030,288.52,,-4.89,1.93
20050115:0130,519.65,,-2.46,2.14
20050115:0230,674.42,,0.09,2.07
20050115:0330,760.69,,2.16,2.34
20050115:0430,784.12,,3.3,2.69
20050115:0530,741.75,,3.8,2.83
20050115:0630,633.28,,4.08,2.97
20050115:0730,455.21,,3.84,2.97
20050115:0830,215.03,,3.37,2.62
20050115:0930,0.0,,1.91,2.0
20050115:1030,0.0,,0.06,2.28
20050115:1130,0.0,,-1.43,2.07
20050115:1230,0.0,,-2.69,2.0
20050115:1330,0.0,,-3.78,1.93
20050115:1430,0.0,,-4.53,1.86
20050115:1530,0.0,,-4.86,1.79
20050115:1630,0.0,,-5.09,1.72
20050115:1730,0.0,,-5.29,1.66
20050115:1830,0.0,,-5.57,1.66
20050115:1930,0.0,,-5.92,1.79
20050115:2030,0.0,,-6.04,1.79
20050115:2130,0.0,,-6.09,1.79
20050115:2230,0.0,,-6.15,1.72
20050115:2330,3.07,,-6.24,1.72
20050116:0030,295.15,,-5.41,1.24
20050116:0130,515.92,,-1.27,0.76
20050116:0230,662.37,,1.78,0.76
20050116:0330,744.93,,3.54,0.97
20050116:0430,765.57,,4.57,1.1
20050116:0530,725.81,,5.23,1.31
20050116:0630,622.22,,5.46,1.45
20050116:0730,447.85,,5.31,1.03
20050116:0830,214.32,,4.99,0.83
20050116:0930,0.0,,4.04,0.34
20050116:1030,0.0,,3.3,0.28
20050116:1130,0.0,,2.14,0.76
20050116:1230,0.0,,-0.65,1.38
20050116:1330,0.0,,-3.36,2.0
20050116:1430,0.0,,-3.88,2.28
20050116:1530,0.0,,-3.83,2.34
20050116:1630,0.0,,-3.92,2.28
20050116:1730,0.0,,-4.21,2.07
20050116:1830,0.0,,-4.54,2.07
20050116:1930,0.0,,-4.73,2.14
20050116:2030,0.0,,-4.66,2.28
20050116:2130,0.0,,-4.47,2.34
20050116:2230,0.0,,-4.28,2.41
20050116:2330,2.95,,-4.03,2.48
20050117:0030,278.86,,-3.2,2.41
20050117:0130,495.3,,-0.03,2.48
20050117:0230,615.31,,2.95,2.9
20050117:0330,728.24,,5.17,3.24
20050117:0430,750.67,,6.86,3.24
20050117:0530,693.75,,7.96,3.17
20050117:0630,524.67,,8.44,3.17
20050117:0730,345.98,,8.47,3.1
20050117:0830,178.84,,8.1,2.48
20050117:0930,0.0,,6.73,2.14
20050117:1030,0.0,,4.54,2.48
20050117:1130,0.0,,2.66,2.41
20050117:1230,0.0,,1.24,2.28
20050117:1330,0.0,,0.01,2.14
20050117:1430,0.0,,-0.64,2.0
20050117:1530,0.0,,-1.37,1.86
20050117:1630,0.0,,-1.98,1.86
20050117:1730,0.0,,-2.42,1.93
20050117:1830,0.0,,-2.57,2.07
20050117:1930,0.0,,-2.86,2.34
20050117:2030,0.0,,-2.81,2.41
20050117:2130,0.0,,-2.79,2.48
20050117:2230,0.0,,-2.35,2.48
20050117:2330,4.57,,-2.16,2.34
20050118:0030,148.56,,-1.58,2.14
20050118:0130,468.86,,0.25,2.21
20050118:0230,665.3,,2.52,2.62
20050118:0330,746.97,,4.34,2.69
20050118:0430,759.32,,5.5,2.76
20050118:0530,721.38,,6.27,2.9
20050118:0630,593.94,,6.62,2.97
20050118:0730,451.87,,6.55,2.97
20050118:0830,216.44,,6.08,2.76
20050118:0930,0.0,,4.58,2.14
20050118:1030,0.0,,2.22,2.55
20050118:1130,0.0,,0.63,2.55
20050118:1230,0.0,,-0.48,2.55
20050118:1330,0.0,,-1.39,2.41
20050118:1430,0.0,,-2.1,2.34
20050118:1530,0.0,,-2.62,2.28
20050118:1630,0.0,,-3.3,2.14
20050118:1730,0.0,,-3.99,1.86
20050118:1830,0.0,,-4.49,1.59
20050118:1930,0.0,,-5.15,1.66
20050118:2030,0.0,,-5.29,1.66
20050118:2130,0.0,,-5.62,1.79
20050118:2230,0.0,,-5.72,1.86
