region_id,voltage_kv,scheme,station_id,direction,capacity_before_mva,expansion_delta_mva,largest_unit_after_mva,remaining_capacity_mva,stress_mw,contingency_limit_mw,loading_pct,pressure_over_100pct,screen_status,method,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,110,A,BDZ-00132,forward,100,0,50,50,19.51,47.5,41.07368421,False,screened,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_transformer_capacity_screen,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00001,110,A,BDZ-00132,reverse,100,0,50,50,0.33,47.5,0.6947368421,False,screened,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_transformer_capacity_screen,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00001,110,A,BDZ-00165,forward,100,0,50,50,60.44,47.5,127.2421053,True,screened,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_transformer_capacity_screen,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00001,110,A,BDZ-00165,reverse,100,0,50,50,4.12,47.5,8.673684211,False,screened,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_transformer_capacity_screen,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00001,110,A,BDZ-00174,forward,100,0,50,50,70.02,47.5,147.4105263,True,screened,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_transformer_capacity_screen,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00001,110,A,BDZ-00174,reverse,100,0,50,50,23.61,47.5,49.70526316,False,screened,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_transformer_capacity_screen,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00001,110,A,BDZ-00177,forward,63,0,31.5,31.5,7.26,29.925,24.26065163,False,screened,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_transformer_capacity_screen,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00001,110,A,BDZ-00177,reverse,63,0,31.5,31.5,5.27,29.925,17.6106934,False,screened,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_transformer_capacity_screen,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00001,110,B,BDZ-00015,forward,100,0,50,50,20.53,47.5,43.22105263,False,screened,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_transformer_capacity_screen,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00001,110,B,BDZ-00015,reverse,100,0,50,50,4.93,47.5,10.37894737,False,screened,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_transformer_capacity_screen,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
