year,action_id,candidate_id,action_type,delta_capacity_mva,storage_modules_delta,capex_wanyuan,eac_wanyuan_per_year,cost_basis,source_ref,region_id,voltage_kv,path_id,rcap,rcap_numeric,scenario_id
2025,STORAGE-QX-00005-110-2025,,storage,0.0,465,9789.635252,1623.7868109715316,contract_storage_module,model_contract.yaml+储能成本依据,QX-00005,110,PATH_OPT_CLR_LE_2,2.37,2.37,transformer_life_long
2025,EXP-QX-00001-BDZ-00058-01,EXP-QX-00001-BDZ-00058-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00001,110,PATH_OPT_CLR_LE_2,2.4,2.4,transformer_life_long
2025,STORAGE-QX-00001-110-2025,,storage,0.0,19,400.550662,66.43852046976303,contract_storage_module,model_contract.yaml+储能成本依据,QX-00001,110,PATH_OPT_CLR_LE_2,2.4,2.4,transformer_life_long
2025,EXP-QX-00005-BDZ-00162-01,EXP-QX-00005-BDZ-00162-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00005,110,PATH_OPT_CLR_LE_2,2.4,2.4,transformer_life_long
2025,STORAGE-QX-00005-110-2025,,storage,0.0,465,9789.635252,1623.7868109715316,contract_storage_module,model_contract.yaml+储能成本依据,QX-00005,110,PATH_OPT_CLR_LE_2,2.4,2.4,transformer_life_long
2025,EXP-QX-00001-BDZ-00058-01,EXP-QX-00001-BDZ-00058-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00001,110,PATH_OPT_CLR_LE_2,2.5,2.5,transformer_life_long
2025,STORAGE-QX-00001-110-2025,,storage,0.0,19,400.550662,66.43852046976303,contract_storage_module,model_contract.yaml+储能成本依据,QX-00001,110,PATH_OPT_CLR_LE_2,2.5,2.5,transformer_life_long
2025,EXP-QX-00005-BDZ-00162-01,EXP-QX-00005-BDZ-00162-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00005,110,PATH_OPT_CLR_LE_2,2.5,2.5,transformer_life_long
2025,STORAGE-QX-00005-110-2025,,storage,0.0,465,9789.635252,1623.7868109715316,contract_storage_module,model_contract.yaml+储能成本依据,QX-00005,110,PATH_OPT_CLR_LE_2,2.5,2.5,transformer_life_long
2025,EXP-QX-00001-BDZ-00058-01,EXP-QX-00001-BDZ-00058-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00001,110,PATH_OPT_CLR_LE_2,2.6,2.6,transformer_life_long
2025,STORAGE-QX-00001-110-2025,,storage,0.0,19,400.550662,66.43852046976303,contract_storage_module,model_contract.yaml+储能成本依据,QX-00001,110,PATH_OPT_CLR_LE_2,2.6,2.6,transformer_life_long
2025,EXP-QX-00005-BDZ-00162-01,EXP-QX-00005-BDZ-00162-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00005,110,PATH_OPT_CLR_LE_2,2.6,2.6,transformer_life_long
2025,STORAGE-QX-00005-110-2025,,storage,0.0,465,9789.635252,1623.7868109715316,contract_storage_module,model_contract.yaml+储能成本依据,QX-00005,110,PATH_OPT_CLR_LE_2,2.6,2.6,transformer_life_long
2025,EXP-QX-00001-BDZ-00058-01,EXP-QX-00001-BDZ-00058-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00001,110,PATH_OPT_CLR_LE_2,2.7,2.7,transformer_life_long
2025,STORAGE-QX-00001-110-2025,,storage,0.0,19,400.550662,66.43852046976303,contract_storage_module,model_contract.yaml+储能成本依据,QX-00001,110,PATH_OPT_CLR_LE_2,2.7,2.7,transformer_life_long
2025,EXP-QX-00005-BDZ-00162-01,EXP-QX-00005-BDZ-00162-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00005,110,PATH_OPT_CLR_LE_2,2.7,2.7,transformer_life_long
2025,STORAGE-QX-00005-110-2025,,storage,0.0,465,9789.635252,1623.7868109715316,contract_storage_module,model_contract.yaml+储能成本依据,QX-00005,110,PATH_OPT_CLR_LE_2,2.7,2.7,transformer_life_long
2025,EXP-QX-00001-BDZ-00058-01,EXP-QX-00001-BDZ-00058-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00001,110,PATH_OPT_CLR_LE_2,2.8,2.8,transformer_life_long
2025,STORAGE-QX-00001-110-2025,,storage,0.0,19,400.550662,66.43852046976303,contract_storage_module,model_contract.yaml+储能成本依据,QX-00001,110,PATH_OPT_CLR_LE_2,2.8,2.8,transformer_life_long
2025,EXP-QX-00005-BDZ-00162-01,EXP-QX-00005-BDZ-00162-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00005,110,PATH_OPT_CLR_LE_2,2.8,2.8,transformer_life_long
2025,STORAGE-QX-00005-110-2025,,storage,0.0,465,9789.635252,1623.7868109715316,contract_storage_module,model_contract.yaml+储能成本依据,QX-00005,110,PATH_OPT_CLR_LE_2,2.8,2.8,transformer_life_long
2025,EXP-QX-00001-BDZ-00058-01,EXP-QX-00001-BDZ-00058-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00001,110,PATH_OPT_CLR_LE_2,2.9,2.9,transformer_life_long
2025,STORAGE-QX-00001-110-2025,,storage,0.0,19,400.550662,66.43852046976303,contract_storage_module,model_contract.yaml+储能成本依据,QX-00001,110,PATH_OPT_CLR_LE_2,2.9,2.9,transformer_life_long
2025,EXP-QX-00005-BDZ-00162-01,EXP-QX-00005-BDZ-00162-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00005,110,PATH_OPT_CLR_LE_2,2.9,2.9,transformer_life_long
2025,STORAGE-QX-00005-110-2025,,storage,0.0,465,9789.635252,1623.7868109715316,contract_storage_module,model_contract.yaml+储能成本依据,QX-00005,110,PATH_OPT_CLR_LE_2,2.9,2.9,transformer_life_long
2025,EXP-QX-00001-BDZ-00058-01,EXP-QX-00001-BDZ-00058-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00001,110,PATH_OPT_CLR_LE_2,3.0,3.0,transformer_life_long
2025,STORAGE-QX-00001-110-2025,,storage,0.0,19,400.550662,66.43852046976303,contract_storage_module,model_contract.yaml+储能成本依据,QX-00001,110,PATH_OPT_CLR_LE_2,3.0,3.0,transformer_life_long
2025,EXP-QX-00005-BDZ-00162-01,EXP-QX-00005-BDZ-00162-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00005,110,PATH_OPT_CLR_LE_2,3.0,3.0,transformer_life_long
2025,STORAGE-QX-00005-110-2025,,storage,0.0,465,9789.635252,1623.7868109715316,contract_storage_module,model_contract.yaml+储能成本依据,QX-00005,110,PATH_OPT_CLR_LE_2,3.0,3.0,transformer_life_long
2025,EXP-QX-00001-BDZ-00058-01,EXP-QX-00001-BDZ-00058-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00001,110,PATH_OPT_CLR_UNBOUNDED,unbounded,,transformer_life_long
2025,STORAGE-QX-00001-110-2025,,storage,0.0,19,400.550662,66.43852046976303,contract_storage_module,model_contract.yaml+储能成本依据,QX-00001,110,PATH_OPT_CLR_UNBOUNDED,unbounded,,transformer_life_long
2025,EXP-QX-00005-BDZ-00162-01,EXP-QX-00005-BDZ-00162-01,new_third_transformer,50.0,0,1343.0,116.8058926,center,SRC03:110千伏变电站1+SRC10,QX-00005,110,PATH_OPT_CLR_UNBOUNDED,unbounded,,transformer_life_long
2025,STORAGE-QX-00005-110-2025,,storage,0.0,465,9789.635252,1623.7868109715316,contract_storage_module,model_contract.yaml+储能成本依据,QX-00005,110,PATH_OPT_CLR_UNBOUNDED,unbounded,,transformer_life_long
