year,region_id,voltage_kv,official_capacity_mva,official_positive_peak_mw,official_clr,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256,device_table_capacity_mva,device_table_transformer_count,operating_2025_capacity_mva,operating_2025_transformer_count,capacity_difference_mva,reconciliation_status
2023,QX-00005,110,2151,761.231803,2.83,19,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,2239.5,42,2239.5,42,88.5,historical_device_scope_not_closed
2023,QX-00007,35,36,14.05,2.56,11,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,36,2,36,2,0,historical_device_scope_not_closed
2023,QX-00007,110,3575,1542.216749,2.32,9,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,3714,61,3714,61,139,historical_device_scope_not_closed
2023,QX-00008,35,190.6,58.020619,3.29,46,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,164.3,12,164.3,12,-26.3,historical_device_scope_not_closed
2023,QX-00008,110,1690.5,660.560758,2.56,44,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,1857.5,38,1857.5,38,167,historical_device_scope_not_closed
2023,QX-00009,35,258.3,86.11926,3,31,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,274.3,16,274.3,16,16,historical_device_scope_not_closed
2023,QX-00009,110,1907,746.012246,2.56,29,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,1977,42,1977,42,70,historical_device_scope_not_closed
2023,QX-00010,35,224,63.770084,3.51,26,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,192,12,192,12,-32,historical_device_scope_not_closed
2023,QX-00010,110,2033.5,609.974273,3.33,24,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,1992.5,40,1992.5,40,-41,historical_device_scope_not_closed
2024,QX-00001,35,276.5,112.361147,2.46,36,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,276.5,16,276.5,16,0,historical_device_scope_not_closed
2024,QX-00001,110,1365,517.378225,2.64,34,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,1425,30,1425,30,60,historical_device_scope_not_closed
