region_id,voltage_kv,station_id,capacity_mva,transformer_count,asset_scope_id,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00005,110,BDZ-00135,113,2,operating_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,year_end equipment scope excluding BDZ-00056 commissioned at end-2025,real_2021_2025,operating_scope_reconciled_to_src08,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00141,100,2,operating_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,year_end equipment scope excluding BDZ-00056 commissioned at end-2025,real_2021_2025,operating_scope_reconciled_to_src08,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00146,80,2,operating_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,year_end equipment scope excluding BDZ-00056 commissioned at end-2025,real_2021_2025,operating_scope_reconciled_to_src08,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00147,100,2,operating_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,year_end equipment scope excluding BDZ-00056 commissioned at end-2025,real_2021_2025,operating_scope_reconciled_to_src08,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00162,40,2,operating_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,year_end equipment scope excluding BDZ-00056 commissioned at end-2025,real_2021_2025,operating_scope_reconciled_to_src08,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00164,63,2,operating_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,year_end equipment scope excluding BDZ-00056 commissioned at end-2025,real_2021_2025,operating_scope_reconciled_to_src08,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00172,100,2,operating_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,year_end equipment scope excluding BDZ-00056 commissioned at end-2025,real_2021_2025,operating_scope_reconciled_to_src08,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00005,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00016,150,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00021,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,BDZ-00022,81.5,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
