series_column_1_based,source_header_station_id,transformer_uid,approval_status,candidate_map_sha256,approval_authority,approval_date,approval_basis,source_sha256,source_ref,source_version,transformation,scenario_id,quality_flag
12,BDZ-00158,QX-00005|35|BDZ-00290|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
13,BDZ-00248,QX-00005|35|BDZ-00248|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
14,BDZ-00314,QX-00005|35|BDZ-00314|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
15,BDZ-00314,QX-00005|35|BDZ-00314|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
16,BDZ-00135,QX-00005|110|BDZ-00135|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
17,BDZ-00135,QX-00005|110|BDZ-00135|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
18,BDZ-00246,QX-00005|35|BDZ-00246|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
19,BDZ-00246,QX-00005|35|BDZ-00246|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
20,BDZ-00048,QX-00005|110|BDZ-00048|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
21,BDZ-00325,QX-00005|35|BDZ-00325|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
22,BDZ-00325,QX-00005|35|BDZ-00325|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
23,BDZ-00141,QX-00005|110|BDZ-00141|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
24,BDZ-00255,QX-00005|35|BDZ-00255|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
25,BDZ-00005,QX-00005|110|BDZ-00005|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
26,BDZ-00005,QX-00005|110|BDZ-00005|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
27,BDZ-00005,QX-00005|35|BDZ-00247|#3,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
28,BDZ-00005,QX-00005|35|BDZ-00247|#4,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
29,BDZ-00172,QX-00005|110|BDZ-00172|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
30,BDZ-00172,QX-00005|110|BDZ-00172|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
31,BDZ-00021,QX-00005|110|BDZ-00021|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
32,BDZ-00021,QX-00005|110|BDZ-00021|#3,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
33,BDZ-00280,QX-00005|35|BDZ-00280|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
34,BDZ-00280,QX-00005|35|BDZ-00280|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
35,BDZ-00037,QX-00005|110|BDZ-00037|#3,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
36,BDZ-00248,QX-00005|35|BDZ-00248|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
37,BDZ-00048,QX-00005|110|BDZ-00048|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
38,BDZ-00031,QX-00005|110|BDZ-00031|#3,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
39,BDZ-00031,QX-00005|110|BDZ-00031|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
40,BDZ-00026,QX-00005|110|BDZ-00026|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
41,BDZ-00027,QX-00005|110|BDZ-00027|#3,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
42,BDZ-00016,QX-00005|110|BDZ-00016|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
43,BDZ-00016,QX-00005|110|BDZ-00016|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
44,BDZ-00027,QX-00005|110|BDZ-00027|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
45,BDZ-00164,QX-00005|110|BDZ-00164|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
46,BDZ-00164,QX-00005|110|BDZ-00164|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
47,BDZ-00147,QX-00005|110|BDZ-00147|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
48,BDZ-00147,QX-00005|110|BDZ-00147|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
49,BDZ-00162,QX-00005|110|BDZ-00162|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
50,BDZ-00162,QX-00005|110|BDZ-00162|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
51,BDZ-00146,QX-00005|110|BDZ-00146|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
52,BDZ-00146,QX-00005|110|BDZ-00146|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
53,BDZ-00095,QX-00005|110|BDZ-00095|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
54,BDZ-00095,QX-00005|110|BDZ-00095|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
55,BDZ-00022,QX-00005|110|BDZ-00022|#1,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
56,BDZ-00022,QX-00005|110|BDZ-00022|#2,approved,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
57,BDZ-00056,QX-00005|110|BDZ-00056|#1,rejected,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_excluded_year_end_only_from_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
58,BDZ-00056,QX-00005|110|BDZ-00056|#2,rejected,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,project_owner,2026-08-14,project_owner_excluded_year_end_only_from_2025_operating_scope,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,pending_project_owner_approval
