time,P,G_i,T2m,WS10m
20050112:0330,764.9,,4.02,2.69
20050112:0430,767.52,,4.95,2.69
20050112:0530,713.51,,5.61,2.55
20050112:0630,483.24,,5.94,2.41
20050112:0730,289.06,,5.95,2.48
20050112:0830,128.99,,5.58,2.48
20050112:0930,0.0,,4.62,2.0
20050112:1030,0.0,,3.3,2.34
20050112:1130,0.0,,2.46,2.14
20050112:1230,0.0,,1.65,2.41
20050112:1330,0.0,,1.42,2.9
20050112:1430,0.0,,1.09,2.83
20050112:1530,0.0,,0.91,2.48
20050112:1630,0.0,,0.78,2.07
20050112:1730,0.0,,0.69,2.07
20050112:1830,0.0,,0.67,1.93
20050112:1930,0.0,,0.92,1.66
20050112:2030,0.0,,0.79,1.52
20050112:2130,0.0,,0.67,1.45
20050112:2230,0.0,,0.5,1.45
20050112:2330,6.96,,0.41,1.59
20050113:0030,59.6,,0.51,1.79
20050113:0130,195.91,,1.08,1.93
20050113:0230,318.83,,2.03,1.93
20050113:0330,388.07,,2.88,2.0
20050113:0430,272.73,,3.88,2.0
20050113:0530,365.21,,4.08,1.86
20050113:0630,466.78,,4.72,1.93
20050113:0730,219.9,,5.59,2.0
20050113:0830,61.2,,5.34,1.79
20050113:0930,0.0,,4.83,1.52
20050113:1030,0.0,,4.08,1.66
20050113:1130,0.0,,3.67,1.59
20050113:1230,0.0,,3.26,1.45
20050113:1330,0.0,,3.02,1.38
20050113:1430,0.0,,2.63,1.52
20050113:1530,0.0,,2.46,1.59
20050113:1630,0.0,,2.28,1.59
20050113:1730,0.0,,2.14,1.59
20050113:1830,0.0,,1.94,1.72
20050113:1930,0.0,,1.79,1.86
20050113:2030,0.0,,1.7,2.0
20050113:2130,0.0,,1.49,2.14
20050113:2230,0.0,,1.38,2.0
20050113:2330,25.22,,1.14,1.86
20050114:0030,158.29,,1.41,1.79
20050114:0130,462.22,,2.43,2.14
20050114:0230,635.15,,3.86,2.41
20050114:0330,693.7,,5.17,2.97
20050114:0430,568.12,,6.03,2.9
20050114:0530,425.17,,6.29,3.24
20050114:0630,381.39,,6.19,3.59
20050114:0730,243.21,,6.16,3.79
20050114:0830,139.05,,5.83,3.66
20050114:0930,0.0,,4.93,2.62
20050114:1030,0.0,,3.65,2.28
20050114:1130,0.0,,2.7,2.14
20050114:1230,0.0,,2.01,2.21
20050114:1330,0.0,,1.26,2.14
20050114:1430,0.0,,0.47,2.0
20050114:1530,0.0,,-0.34,1.86
20050114:1630,0.0,,-1.26,1.72
20050114:1730,0.0,,-1.84,1.52
20050114:1830,0.0,,-2.09,1.38
20050114:1930,0.0,,-2.86,1.79
20050114:2030,0.0,,-2.99,1.86
20050114:2130,0.0,,-3.02,1.86
20050114:2230,0.0,,-3.27,1.79
20050114:2330,112.85,,-3.15,1.79
20050115:0030,306.3,,-1.45,1.38
20050115:0130,502.48,,2.62,1.66
20050115:0230,634.14,,4.37,2.34
20050115:0330,743.1,,5.56,3.03
20050115:0430,663.48,,6.37,3.93
20050115:0530,536.56,,6.62,4.48
20050115:0630,453.52,,6.48,4.76
20050115:0730,255.73,,5.93,5.38
20050115:0830,148.02,,5.4,4.83
20050115:0930,0.0,,4.55,3.59
20050115:1030,0.0,,3.19,2.9
20050115:1130,0.0,,2.23,2.83
20050115:1230,0.0,,1.59,3.03
20050115:1330,0.0,,1.22,3.31
20050115:1430,0.0,,0.8,3.38
20050115:1530,0.0,,0.3,3.31
20050115:1630,0.0,,-0.3,3.03
20050115:1730,0.0,,-0.86,2.76
20050115:1830,0.0,,-1.33,2.69
20050115:1930,0.0,,-1.6,2.76
20050115:2030,0.0,,-1.9,2.76
20050115:2130,0.0,,-2.08,2.76
20050115:2230,0.0,,-2.18,2.69
20050115:2330,140.81,,-2.25,2.62
20050116:0030,394.55,,-1.33,2.28
20050116:0130,606.04,,0.9,2.83
20050116:0230,747.72,,2.6,3.45
20050116:0330,820.74,,3.73,3.86
20050116:0430,826.95,,4.53,4.07
20050116:0530,766.91,,5.06,4.21
20050116:0630,638.63,,5.3,4.21
20050116:0730,442.54,,5.13,4.28
20050116:0830,189.39,,4.68,3.86
20050116:0930,0.0,,3.67,2.76
20050116:1030,0.0,,2.38,2.41
20050116:1130,0.0,,1.53,2.21
20050116:1230,0.0,,0.72,2.0
20050116:1330,0.0,,-0.25,2.07
20050116:1430,0.0,,-1.35,1.93
20050116:1530,0.0,,-2.28,1.86
20050116:1630,0.0,,-2.78,1.86
20050116:1730,0.0,,-2.99,2.21
20050116:1830,0.0,,-2.91,1.72
20050116:1930,0.0,,-1.1,0.97
20050116:2030,0.0,,-0.65,0.69
20050116:2130,0.0,,-0.68,0.41
20050116:2230,0.0,,-0.81,0.21
20050116:2330,129.82,,-0.97,0.34
20050117:0030,381.41,,-0.54,0.28
20050117:0130,582.1,,1.87,0.34
20050117:0230,713.97,,3.63,0.76
20050117:0330,780.32,,4.72,0.83
20050117:0430,784.29,,5.58,0.97
20050117:0530,729.83,,6.26,1.31
20050117:0630,614.41,,6.66,1.66
20050117:0730,426.93,,6.77,1.72
20050117:0830,183.7,,6.38,1.86
20050117:0930,0.0,,5.21,2.07
20050117:1030,0.0,,3.44,2.48
20050117:1130,0.0,,2.33,2.55
20050117:1230,0.0,,1.65,2.62
20050117:1330,0.0,,1.33,2.62
20050117:1430,0.0,,1.12,2.62
20050117:1530,0.0,,1.06,2.41
20050117:1630,0.0,,0.96,2.28
20050117:1730,0.0,,0.84,2.21
20050117:1830,0.0,,0.88,1.93
20050117:1930,0.0,,0.8,1.45
20050117:2030,0.0,,0.37,1.31
20050117:2130,0.0,,1.1,0.97
20050117:2230,0.0,,1.71,0.48
20050117:2330,23.63,,1.58,0.41
20050118:0030,232.88,,1.88,0.34
20050118:0130,502.44,,4.04,0.55
20050118:0230,648.77,,6.5,0.55
20050118:0330,679.83,,8.44,0.62
20050118:0430,598.3,,9.76,0.97
20050118:0530,393.81,,10.43,1.38
20050118:0630,346.48,,10.41,1.86
20050118:0730,78.48,,10.52,2.21
20050118:0830,30.75,,9.61,2.14
20050118:0930,0.0,,8.34,2.28
20050118:1030,0.0,,7.2,2.28
20050118:1130,0.0,,6.17,2.28
20050118:1230,0.0,,5.27,2.34
20050118:1330,0.0,,4.31,2.41
20050118:1430,0.0,,3.51,2.41
20050118:1530,0.0,,2.79,2.62
20050118:1630,0.0,,2.17,2.83
20050118:1730,0.0,,1.71,2.83
20050118:1830,0.0,,1.65,2.69
20050118:1930,0.0,,1.71,2.41
20050118:2030,0.0,,1.47,2.28
20050118:2130,0.0,,1.31,2.14
20050118:2230,0.0,,1.03,2.14
20050118:2330,100.47,,0.71,2.21
20050119:0030,312.42,,1.19,2.0
20050119:0130,411.05,,2.98,2.41
20050119:0230,403.85,,4.47,2.41
20050119:0330,490.68,,5.42,2.14
20050119:0430,636.46,,6.36,2.0
20050119:0530,703.99,,7.22,1.93
20050119:0630,587.27,,7.73,2.0
20050119:0730,409.5,,7.76,2.21
20050119:0830,177.65,,7.42,2.34
20050119:0930,0.0,,6.38,1.72
20050119:1030,0.0,,4.74,1.93
20050119:1130,0.0,,3.48,2.07
20050119:1230,0.0,,2.54,2.21
20050119:1330,0.0,,1.82,2.62
20050119:1430,0.0,,1.21,2.69
20050119:1530,0.0,,0.71,2.55
20050119:1630,0.0,,0.28,2.34
20050119:1730,0.0,,-0.09,2.34
20050119:1830,0.0,,-0.43,2.34
20050119:1930,0.0,,-0.46,2.14
20050119:2030,0.0,,-1.01,1.86
20050119:2130,0.0,,-1.82,1.72
20050119:2230,0.0,,-2.29,1.66
20050119:2330,134.94,,-2.51,1.72
20050120:0030,382.3,,-1.09,1.31
20050120:0130,580.49,,2.81,1.38
20050120:0230,716.97,,4.76,1.79
20050120:0330,786.4,,6.03,2.28
20050120:0430,790.78,,6.81,2.21
20050120:0530,732.41,,7.36,2.07
20050120:0630,593.78,,7.67,2.21
20050120:0730,421.18,,7.74,2.14
20050120:0830,161.41,,7.42,2.07
20050120:0930,0.0,,6.46,1.72
20050120:1030,0.0,,4.82,2.0
20050120:1130,0.0,,3.9,2.21
20050120:1230,0.0,,3.31,2.9
20050120:1330,0.0,,3.03,3.31
20050120:1430,0.0,,2.41,3.17
20050120:1530,0.0,,1.72,2.97
20050120:1630,0.0,,1.56,2.83
20050120:1730,0.0,,1.78,2.76
20050120:1830,0.0,,1.76,2.55
20050120:1930,0.0,,1.96,2.9
20050120:2030,0.0,,1.32,2.69
20050120:2130,0.0,,0.78,2.62
20050120:2230,0.0,,0.33,2.76
20050120:2330,116.76,,0.09,2.69
20050121:0030,331.9,,0.85,2.28
20050121:0130,496.26,,2.96,2.76
20050121:0230,470.11,,4.82,2.9
20050121:0330,319.34,,6.02,3.03
20050121:0430,125.58,,6.42,2.83
20050121:0530,131.4,,6.08,2.55
20050121:0630,130.22,,5.94,2.62
20050121:0730,150.9,,5.75,2.97
20050121:0830,22.48,,5.66,2.69
20050121:0930,0.0,,4.68,2.69
20050121:1030,0.0,,3.67,2.83
20050121:1130,0.0,,2.79,2.9
20050121:1230,0.0,,2.04,3.1
20050121:1330,0.0,,1.95,3.1
20050121:1430,0.0,,1.76,2.83
